Date,Returns,NAV
2016/1/5,-0.005346969,0.994653031
2016/1/6,-0.005021222,0.989631809
2016/1/7,-0.028832054,0.960799754
2016/1/8,-0.011429424,0.94937033
2016/1/11,0.007094935,0.956465265
2016/1/12,-0.008482434,0.94798283
2016/1/13,-0.038214541,0.909768289
2016/1/14,0.023577613,0.933345903
2016/1/15,-0.022161457,0.911184446
2016/1/19,-0.002898828,0.908285618
2016/1/20,-0.010554549,0.897731069
2016/1/21,0.00204485,0.899775919
2016/1/22,0.025503402,0.925279321
2016/1/25,-0.020348852,0.904930469
2016/1/26,0.012431451,0.91736192
2016/1/27,-0.023851759,0.893510162
2016/1/28,0.018414192,0.911924353
2016/1/29,0.017600967,0.929525321
2016/2/1,-0.001935275,0.927590046
2016/2/2,-0.029805778,0.897784268
2016/2/3,-0.018250208,0.879534061
2016/2/4,0.026762477,0.906296537
2016/2/5,-0.034716015,0.871580522
2016/2/8,-0.020987926,0.850592597
2016/2/9,-0.000439472,0.850153124
2016/2/10,-0.002914889,0.847238235
2016/2/11,-0.009572955,0.83766528
2016/2/12,0.029566445,0.867231726
2016/2/16,0.023363126,0.890594852
2016/2/17,0.028039073,0.918633924
2016/2/18,-0.022256331,0.896377594
2016/2/19,0.002462102,0.898839696
2016/2/22,0.014289381,0.913129077
2016/2/23,-0.017419464,0.895709612
2016/2/24,0.007283399,0.902993012
2016/2/25,0.016772585,0.919765597
2016/2/26,0.007480475,0.927246072
2016/2/29,-0.005668388,0.921577684
2016/3/1,0.02790342,0.949481104
2016/3/2,0.007254149,0.956735253
2016/3/3,0.006688814,0.963424068
2016/3/4,0.007671779,0.971095847
2016/3/7,-0.006085012,0.965010834
2016/3/8,-0.014602201,0.950408634
2016/3/9,0.008843498,0.959252132
2016/3/10,-0.001402945,0.957849186
2016/3/11,0.017091273,0.974940459
2016/3/14,0.002501821,0.97744228
2016/3/15,-0.00501934,0.97242294
2016/3/16,0.0005107,0.97293364
2016/3/17,0.000314426,0.973248066
2016/3/18,0.022208907,0.995456972
2016/3/21,0.001675826,0.997132798
2016/3/22,-0.002687511,0.994445287
2016/3/23,-0.008668512,0.985776775
2016/3/24,0.002096039,0.987872814
2016/3/28,0.001073659,0.988946473
2016/3/29,0.014157208,1.003103681
2016/3/30,0.003194672,1.006298353
2016/3/31,-3.54E-05,1.006262934
2016/4/1,0.015223585,1.021486519
2016/4/4,0.002577112,1.024063631
2016/4/5,-0.003909246,1.020154385
2016/4/6,0.01206528,1.032219664
2016/4/7,-0.017569097,1.014650567
